Name,accuracy,maxVal,minVal
pp_50_50_50,61.25999689102173,61.604491171947885,60.91438303244961
pp_25_25_25,61.54499650001526,61.88900754368729,61.19983815444139
pp_50_50_25,61.03999614715576,61.384856049789505,60.69404015884393
pp_100_100_10,61.21000051498413,61.554574744133504,60.86430446127227
pp_100_100_100,61.59999966621399,61.9439127859474,61.25492741086786
pp_100_100_25,61.11499667167664,61.45973248498456,60.769156222262886
pp_25_25_50,61.41499876976013,61.759229681217306,61.06962901988175
pp_10_10_10,60.73499917984009,61.08034977173177,60.38857694193113
pp_25_25_10,61.169999837875366,61.51464132836752,60.82424187782548
pp_50_50_10,61.67500019073486,62.0187828258574,61.33004986911194
pp_10_10_25,61.30999922752381,61.654407219629114,60.96446198373302
pp_50_50_100,61.684995889663696,62.028765432852815,61.34006626186559
pp_25_25_100,61.71000003814697,62.05372188340089,61.36510731068522
pp_10_10_100,61.34499907493591,61.6893482266815,60.99951747593968
pp_10_10_50,60.60999631881714,60.95554805668605,60.26339115876203
pp_100_100_50,61.21999621391296,61.56455806009406,60.874320145112215
