segmentation	accuracy	minVal	maxVal
100_100_100	0.5674	0.5633395014290505	0.5714515048446305
100_100_50	0.5669333333333333	0.5628723522708219	0.570985382949973
100_100_25	0.5656	0.5615376604064823	0.5696535860906936
100_100_10	0.5609333333333333	0.5568664720048059	0.5649920639474602
50_50_100	0.5652	0.5611372586262378	0.5692540412535408
50_50_50	0.5694	0.5653416104375479	0.5734491289176482
50_50_25	0.564	0.5599360692765665	0.5680553907501793
50_50_10	0.5639333333333333	0.5598693372379191	0.5679887983525088
25_25_100	0.5624666666666667	0.5584012510964802	0.5665237468940189
25_25_50	0.5597333333333333	0.5556653677784229	0.563793328316482
25_25_25	0.5616666666666666	0.5576004919138422	0.5657246128395623
25_25_10	0.5659333333333333	0.5618713305936274	0.5699865380846043
10_10_100	0.5659333333333333	0.5618713305936274	0.5699865380846043
10_10_50	0.5668666666666666	0.5628056169734293	0.5709187938112241
10_10_25	0.5633333333333334	0.5592687522184947	0.5673894634449116
10_10_10	0.5630666666666667	0.5590018274658028	0.5671230904521625
